;Bezeichnung Auftragskonto;IBAN Auftragskonto;BIC Auftragskonto;Bankname Auftragskonto;Name Zahlungsbeteiligter;IBAN Zahlungsbeteiligter;BIC (SWIFT-Code) Zahlungsbeteiligter;Verwendungszweck;Buchungstag;Valutadatum;Betrag;Buchungstext;Waehrung;Bemerkung;Kategorie;Steuerrelevant;Glaeubiger ID;Mandatsreferenz;Saldo nach Buchung
0;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Andrew Myers;GB25CZXL23186024805804;XQAB67042397904377;Tree red present pick paper.;2024-01-01;2024-01-01;-184.81;DAUERAUFTRAG;EUR;;;;;;29815.19
1;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Key Inc;GB04OMVY00591295169235;GTAD63500292776038;Produce foreign expert attorney rise American.;2024-01-05;2024-01-05;-379.7;ABSCHLUSS;EUR;;;;;;29435.49
2;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Lisa Hill;GB98JUUX14258051007884;AZBD75325200718314;Imagine cut safe color process on be.;2024-01-07;2024-01-07;-147.26;DAUERAUFTRAG;EUR;;;;;;29288.23
3;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Ashley Stewart;GB30LIPU43896807588812;VWNK21811988757283;Recent stand wrong interest authority character.;2024-01-07;2024-01-07;-228.55;LASTSCHRIFT;EUR;;;;;;29059.68
4;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Roberson;GB86SRTT70515609915393;LQWY69700714652730;Main out loss lose knowledge room save.;2024-01-11;2024-01-11;-59.81;DAUERAUFTRAG;EUR;;;;;;28999.87
5;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Mcclain;GB79JXDO19499572398065;KBLS47370071951345;My gun right contain sign.;2024-01-12;2024-01-12;-50.14;ABSCHLUSS;EUR;;;;;;28949.73
6;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Underwood Ltd;GB45CBNL57260711157942;TEEG64089898663375;Value learn cold final.;2024-01-13;2024-01-13;2294.68;LOHN/GEHALT;EUR;;;;;;31244.41
7;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Johnson, Armstrong and Rogers;GB90RKXG18314011048959;VUNT06713155565102;Inside fire my.;2024-01-18;2024-01-18;-195.02;DAUERAUFTRAG;EUR;;;;;;31049.39
8;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Roberts-Ross;GB79EJSS49633693485532;KIGQ34919970136095;Health first health I walk.;2024-01-19;2024-01-19;-246.03;ABSCHLUSS;EUR;;;;;;30803.36
9;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Hurley, Daniels and Cruz;GB27CFGN20507642731285;HXRS62517348529090;Out with focus star stay story threat.;2024-01-19;2024-01-19;-19.38;LASTSCHRIFT;EUR;;;;;;30783.98
10;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Harvey-Booth;GB51CSXN95890678261885;USQR38161582159741;Tv among maybe pull.;2024-01-22;2024-01-22;-115.36;ABSCHLUSS;EUR;;;;;;30668.62
11;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Adams, Walker and Jones;GB60DSOV30707801799689;HBVF27148426584797;Drive question we follow.;2024-01-24;2024-01-24;-71.81;ABSCHLUSS;EUR;;;;;;30596.81
12;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Emily Powell;GB63NVJI92795382069792;HMJL69435875128426;Themselves Congress much similar appear drop.;2024-01-24;2024-01-24;-127.53;DAUERAUFTRAG;EUR;;;;;;30469.28
13;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Teresa Garcia;GB67IUGL12942571163040;HQCZ54719416316378;Line catch answer close certain national research.;2024-01-28;2024-01-28;-351.81;DAUERAUFTRAG;EUR;;;;;;30117.47
14;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Andrew Myers;GB25CZXL23186024805804;XQAB67042397904377;Tree red present pick paper.;2024-02-01;2024-02-01;-184.81;DAUERAUFTRAG;EUR;;;;;;29932.66
15;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Taylor-Douglas;GB15CCXJ62429302228692;NUPF98015442717803;Baby nature already including seat.;2024-02-01;2024-02-01;-107.69;Kartenzahlung V PAY;EUR;;;;;;29824.97
16;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Key Inc;GB04OMVY00591295169235;GTAD63500292776038;Produce foreign expert attorney rise American.;2024-02-05;2024-02-05;-379.7;ABSCHLUSS;EUR;;;;;;29445.27
17;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Lisa Hill;GB98JUUX14258051007884;AZBD75325200718314;Imagine cut safe color process on be.;2024-02-07;2024-02-07;-147.26;DAUERAUFTRAG;EUR;;;;;;29298.01
18;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jones, Evans and Duran;GB67ESML46381310928833;QVIC23874398105986;Within official could seek beautiful.;2024-02-10;2024-02-10;-154.89;SEPA-UEBERWEISUNG;EUR;;;;;;29143.12
19;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Roberson;GB86SRTT70515609915393;LQWY69700714652730;Main out loss lose knowledge room save.;2024-02-11;2024-02-11;-59.81;DAUERAUFTRAG;EUR;;;;;;29083.31
20;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Mcclain;GB79JXDO19499572398065;KBLS47370071951345;My gun right contain sign.;2024-02-12;2024-02-12;-50.14;ABSCHLUSS;EUR;;;;;;29033.17
21;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Underwood Ltd;GB45CBNL57260711157942;TEEG64089898663375;Value learn cold final.;2024-02-13;2024-02-13;2294.68;LOHN/GEHALT;EUR;;;;;;31327.85
22;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Johnson, Armstrong and Rogers;GB90RKXG18314011048959;VUNT06713155565102;Inside fire my.;2024-02-18;2024-02-18;-195.02;DAUERAUFTRAG;EUR;;;;;;31132.83
23;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Roberts-Ross;GB79EJSS49633693485532;KIGQ34919970136095;Health first health I walk.;2024-02-19;2024-02-19;-246.03;ABSCHLUSS;EUR;;;;;;30886.8
24;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Harvey-Booth;GB51CSXN95890678261885;USQR38161582159741;Tv among maybe pull.;2024-02-22;2024-02-22;-115.36;ABSCHLUSS;EUR;;;;;;30771.44
25;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Emily Powell;GB63NVJI92795382069792;HMJL69435875128426;Themselves Congress much similar appear drop.;2024-02-24;2024-02-24;-127.53;DAUERAUFTRAG;EUR;;;;;;30643.91
26;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Adams, Walker and Jones;GB60DSOV30707801799689;HBVF27148426584797;Drive question we follow.;2024-02-24;2024-02-24;-71.81;ABSCHLUSS;EUR;;;;;;30572.1
27;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Teresa Garcia;GB67IUGL12942571163040;HQCZ54719416316378;Line catch answer close certain national research.;2024-02-28;2024-02-28;-351.81;DAUERAUFTRAG;EUR;;;;;;30220.29
28;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Andrew Myers;GB25CZXL23186024805804;XQAB67042397904377;Tree red present pick paper.;2024-03-01;2024-03-01;-184.81;DAUERAUFTRAG;EUR;;;;;;30035.48
29;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Key Inc;GB04OMVY00591295169235;GTAD63500292776038;Produce foreign expert attorney rise American.;2024-03-05;2024-03-05;-379.7;ABSCHLUSS;EUR;;;;;;29655.78
30;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Lisa Hill;GB98JUUX14258051007884;AZBD75325200718314;Imagine cut safe color process on be.;2024-03-07;2024-03-07;-147.26;DAUERAUFTRAG;EUR;;;;;;29508.52
31;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jasmin Delgado;GB19KELZ79791584206109;POMR47764783051201;On bar entire various.;2024-03-07;2024-03-07;-140.62;Kartenzahlung girocard;EUR;;;;;;29367.9
32;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Roberson;GB86SRTT70515609915393;LQWY69700714652730;Main out loss lose knowledge room save.;2024-03-11;2024-03-11;-59.81;DAUERAUFTRAG;EUR;;;;;;29308.09
33;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Mcclain;GB79JXDO19499572398065;KBLS47370071951345;My gun right contain sign.;2024-03-12;2024-03-12;-50.14;ABSCHLUSS;EUR;;;;;;29257.95
34;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Underwood Ltd;GB45CBNL57260711157942;TEEG64089898663375;Value learn cold final.;2024-03-13;2024-03-13;2294.68;LOHN/GEHALT;EUR;;;;;;31552.63
35;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Johnson, Armstrong and Rogers;GB90RKXG18314011048959;VUNT06713155565102;Inside fire my.;2024-03-18;2024-03-18;-195.02;DAUERAUFTRAG;EUR;;;;;;31357.61
36;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Roberts-Ross;GB79EJSS49633693485532;KIGQ34919970136095;Health first health I walk.;2024-03-19;2024-03-19;-246.03;ABSCHLUSS;EUR;;;;;;31111.579999999998
37;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Harvey-Booth;GB51CSXN95890678261885;USQR38161582159741;Tv among maybe pull.;2024-03-22;2024-03-22;-115.36;ABSCHLUSS;EUR;;;;;;30996.22
38;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Adams, Walker and Jones;GB60DSOV30707801799689;HBVF27148426584797;Drive question we follow.;2024-03-24;2024-03-24;-71.81;ABSCHLUSS;EUR;;;;;;30924.41
39;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Emily Powell;GB63NVJI92795382069792;HMJL69435875128426;Themselves Congress much similar appear drop.;2024-03-24;2024-03-24;-127.53;DAUERAUFTRAG;EUR;;;;;;30796.88
40;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Teresa Garcia;GB67IUGL12942571163040;HQCZ54719416316378;Line catch answer close certain national research.;2024-03-28;2024-03-28;-351.81;DAUERAUFTRAG;EUR;;;;;;30445.07
41;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Andrew Myers;GB25CZXL23186024805804;XQAB67042397904377;Tree red present pick paper.;2024-04-01;2024-04-01;-184.81;DAUERAUFTRAG;EUR;;;;;;30260.26
42;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Proctor-Baker;GB09MBPY82015357802342;QBTG89477213155141;Cost read cultural from voice concern city.;2024-04-05;2024-04-05;-256.59;Auszahlung girocard;EUR;;;;;;30003.67
43;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Key Inc;GB04OMVY00591295169235;GTAD63500292776038;Produce foreign expert attorney rise American.;2024-04-05;2024-04-05;-379.7;ABSCHLUSS;EUR;;;;;;29623.97
44;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Collins LLC;GB24XUML14456210338092;DNYU78595969064599;Wind hot laugh stand ever way few.;2024-04-06;2024-04-06;-247.26;Auszahlung girocard;EUR;;;;;;29376.71
45;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Lisa Hill;GB98JUUX14258051007884;AZBD75325200718314;Imagine cut safe color process on be.;2024-04-07;2024-04-07;-147.26;DAUERAUFTRAG;EUR;;;;;;29229.45
46;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Roberson;GB86SRTT70515609915393;LQWY69700714652730;Main out loss lose knowledge room save.;2024-04-11;2024-04-11;-59.81;DAUERAUFTRAG;EUR;;;;;;29169.64
