row_number,sender_bank_name,sender_iban,receiver_name,receiver_iban,booking_text,purpose_char,category_id,category_1,category_2,category_3
1,RBPN,GB87YODA19011530005979,Adams, Walker and Jones,GB60DSOV30707801799689,ABSCHLUSS,drive question we follow,37,Variable expenses,Living expenses,Fashion
2,RBPN,GB87YODA19011530005979,Amy Riley,GB50YYFZ33231044832099,LASTSCHRIFT,style grow eight carry carry,37,Variable expenses,Living expenses,Fashion
3,RBPN,GB87YODA19011530005979,Andrew Myers,GB25CZXL23186024805804,DAUERAUFTRAG,tree red present pick paper,16,Fixed expenses,Insurance,Supplementary health insurance
4,RBPN,GB87YODA19011530005979,Arnold-Lawrence,GB89PEAD91436481302063,Aufladung Mobilfunkguthaben,environment fear either plant,30,Fixed expenses,Other contracts,Mobile phone
6,RBPN,GB87YODA19011530005979,Brian Contreras,GB69OVYM85148454554764,Auszahlung girocard,man board discover likely study case air,49,Variable expenses,Entertainment,Vacation
7,RBPN,GB87YODA19011530005979,Chang and Sons,GB76GBNM53648465928144,LASTSCHRIFT,trouble thousand time forward,49,Variable expenses,Entertainment,Vacation
8,RBPN,GB87YODA19011530005979,Collins LLC,GB24XUML14456210338092,Auszahlung girocard,wind hot laugh stand ever way few,38,Variable expenses,Health,Medications
9,RBPN,GB87YODA19011530005979,Daniel Obrien,GB59UEXD51811170366359,Aufladung Mobilfunkguthaben,water area all bed,30,Fixed expenses,Other contracts,Mobile phone
10,RBPN,GB87YODA19011530005979,Elliott, Bowers and Brown,GB19CQLL70000983916488,SEPA-UEBERWEISUNG,owner instead week language writer top although physical,40,Variable expenses,Housing,Furniture
11,RBPN,GB87YODA19011530005979,Elliott-Riggs,GB20DHUA79287944999345,Auszahlung girocard,consumer physical if cup child let,51,Variable expenses,Education,Fees
12,RBPN,GB87YODA19011530005979,Emily Powell,GB63NVJI92795382069792,DAUERAUFTRAG,themselves congress much similar appear drop,10,Fixed expenses,Housing Germany,Rent
13,RBPN,GB87YODA19011530005979,Freeman LLC,GB16TEIY67452173731428,LASTSCHRIFT,type laugh task each,47,Variable expenses,Mobility,Maintenance
