,Bezeichnung Auftragskonto,IBAN Auftragskonto,BIC Auftragskonto,Bankname Auftragskonto,Name Zahlungsbeteiligter,IBAN Zahlungsbeteiligter,BIC (SWIFT-Code) Zahlungsbeteiligter,Verwendungszweck,Buchungstag,Valutadatum,Betrag,Buchungstext,Waehrung,Bemerkung,Kategorie,Steuerrelevant,Glaeubiger ID,Mandatsreferenz,Saldo nach Buchung
0,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Michael Sampson,GB09MBPY82015357802342,QBTG89477213155141,Cost read cultural from voice concern city.,2024-01-05,2024-01-05,-219.09,ABSCHLUSS,EUR,,,,,,29780.91
1,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Ashley Stewart,GB30LIPU43896807588812,VWNK21811988757283,Recent stand wrong interest authority character.,2024-01-07,2024-01-07,-253.65,ABSCHLUSS,EUR,,,,,,29527.26
2,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Choi, Murphy and Parker",GB19KELZ79791584206109,POMR47764783051201,On bar entire various.,2024-01-07,2024-01-07,-92.55,ABSCHLUSS,EUR,,,,,,29434.71
3,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Matthew Martinez,GB93FHBU69779870102528,EZCP56216993130462,As coach remember rock for step save.,2024-01-09,2024-01-09,2082.43,LOHN/GEHALT,EUR,,,,,,31517.14
4,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Flowers-Martinez,GB43ZPPD88243156485683,TPVV75781871132952,Upon resource total coach win across others TV.,2024-01-12,2024-01-12,-283.76,ABSCHLUSS,EUR,,,,,,31233.38
5,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Underwood Ltd,GB45CBNL57260711157942,TEEG64089898663375,Value learn cold final.,2024-01-13,2024-01-13,-73.16,Auszahlung girocard,EUR,,,,,,31160.22
6,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Shannon Bryant,GB65CCKJ90010174342191,DYYY59054277916717,Those camera green ability task animal chance step.,2024-01-13,2024-01-13,-125.67,DAUERAUFTRAG,EUR,,,,,,31034.55
7,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Melissa Martin,GB37YCKK98801497857630,ENMZ86495816204608,Huge may cell imagine.,2024-01-17,2024-01-17,-294.46,ABSCHLUSS,EUR,,,,,,30740.09
8,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Morales, Diaz and Wilson",GB61LIJC75634256520100,TCZR64093238272944,According relate morning position half current fact.,2024-01-19,2024-01-19,2647.74,LOHN/GEHALT,EUR,,,,,,33387.83
9,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Justin Newman,GB14UGOQ08105276201972,CRGE05182470640242,Safe mind just every sing indicate.,2024-01-19,2024-01-19,-73.16,DAUERAUFTRAG,EUR,,,,,,33314.67
